id;name;url;vendor;clean_url
68772;Комплект приводов Sky-Watcher для монтировки EQ3;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fsky-watcher-komplekt-privodov-dlya-montirovki-eq3%2F%3Frefid%3D533642&i=5;Sky-Watcher (Скай-Вотчер);https://www.4glaza.ru/products/sky-watcher-komplekt-privodov-dlya-montirovki-eq3/
73714;Корректор комы Sky-Watcher для рефлекторов Ньютона f/5;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fsky-watcher-korrektor-komy-dlya-reflektorov-nyutona-f-5%2F%3Frefid%3D533642&i=5;Sky-Watcher (Скай-Вотчер);https://www.4glaza.ru/products/sky-watcher-korrektor-komy-dlya-reflektorov-nyutona-f-5/
70136;Колонна Sky-Watcher для монтировок EQ8;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fsky-watcher-tripod-for-eq8-mounts%2F%3Frefid%3D533642&i=5;Sky-Watcher (Скай-Вотчер);https://www.4glaza.ru/products/sky-watcher-tripod-for-eq8-mounts/
81677;Электронный теодолит RGK T-20;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Frgk-elektronnyj-teodolit-t-20%2F%3Frefid%3D533642&i=5;RGK (РГК);https://www.4glaza.ru/products/rgk-elektronnyj-teodolit-t-20/
81628;Лазерный уровень RGK PR-38G;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Frgk-lazernyj-uroven-pr-38g%2F%3Frefid%3D533642&i=5;RGK (РГК);https://www.4glaza.ru/products/rgk-lazernyj-uroven-pr-38g/
71632;Колонна Sky-Watcher для монтировок EQ6;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fsky-watcher-kolonna-dlya-montirovok-eq6%2F%3Frefid%3D533642&i=5;Sky-Watcher (Скай-Вотчер);https://www.4glaza.ru/products/sky-watcher-kolonna-dlya-montirovok-eq6/
81643;Оптический нивелир RGK C-20;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Frgk-opticheskij-nivelir-c-20%2F%3Frefid%3D533642&i=5;RGK (РГК);https://www.4glaza.ru/products/rgk-opticheskij-nivelir-c-20/
81581;Дорожное колесо RGK Q64;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Frgk-dorozhnoe-koleso-q64%2F%3Frefid%3D533642&i=5;RGK (РГК);https://www.4glaza.ru/products/rgk-dorozhnoe-koleso-q64/
81675;Электронный теодолит RGK T-02, с лазерным целеуказателем;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Frgk-elektronnyj-teodolit-t-02-s-lazernym-ukazatelem%2F%3Frefid%3D533642&i=5;RGK (РГК);https://www.4glaza.ru/products/rgk-elektronnyj-teodolit-t-02-s-lazernym-ukazatelem/
81674;Электронный теодолит RGK T-02;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Frgk-elektronnyj-teodolit-t-02%2F%3Frefid%3D533642&i=5;RGK (РГК);https://www.4glaza.ru/products/rgk-elektronnyj-teodolit-t-02/
77765;"Окуляр GSO SuperView 30 мм, 2""";https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fgso-okuljar-superview-30-mm-2%2F%3Frefid%3D533642&i=5;GSO (ГСО);https://www.4glaza.ru/products/gso-okuljar-superview-30-mm-2/
